Channel,BR,DCR,Samp BR,,,#Bursts,A1 (4),Tau1 (4),dTau1 (4),f1 (4),A2 (4),Tau2 (4),dTau2 (4),f2 (4),<Tau> (4),BL (4)
,Hz,Hz,Hz,,,,,ns,,,,ns,,,ns,
,,,,,,,Weighted,Weighted,Weighted,Weighted,Weighted,Weighted,Weighted,Weighted,Weighted,Weighted
0,11640,3534.2,8105.8,2.29353177522494,0.696374570446735,4267,1713.807,3.793765,0.02203813,0.95298407025004,610.1302,0.5257378,0.05005014,0.04701592974996,3.641,11.34
1,8880,185.6,8694.4,46.8448275862069,0.979099099099099,6850,3271.014,3.781924,0.02895138,0.951395385492141,1001.655,0.6309479,0.1321001,0.0486046145078592,3.632,8.776
2,9818,618.2,9199.8,14.8815917178906,0.937034019148503,6407,2991.459,3.865012,0.02817812,0.942321951037351,844.9431,0.8375634,0.1034718,0.057678048962649,3.685,8.544
3,11590,1747.3,9842.7,5.63309105477022,0.849240724762727,5897,2544.26,3.78137,0.005867357,0.94059981539334,926.0156,0.6561079,0.008116202,0.0594001846066598,3.611,14.48
4,11970,2196.8,9773.2,4.44883466860889,0.816474519632414,5932,2695.438,3.829968,0.004339899,0.938809823830848,910.2735,0.739191,0.007434769,0.0611901761691524,3.642,11.93
5,10630,443.5,10186.5,22.9684329199549,0.958278457196613,6352,3109.416,3.83025,0.0208542,0.943024877151411,963.9191,0.746496,0.1373082,0.0569751228485893,3.656,7.791
6,11590,1083.2,10506.8,9.69977843426883,0.906540120793788,6643,3122.639,3.871201,0.00889143,0.93556450260423,969.1376,0.8590798,0.02874942,0.0644354973957696,3.677,10.55
7,11650,1203.2,10446.8,8.68251329787234,0.896721030042918,6052,2777.512,3.858383,0.0220339,0.938298828547822,836.2266,0.8427321,0.08136092,0.0617011714521776,3.671,9.195
8,10440,46.5,10393.5,223.516129032258,0.995545977011494,6598,2942.798,3.977432,0.07880588,0.910814565760603,1103.165,1.038931,0.1751343,0.0891854342393965,3.684,7.094
9,10140,40,10100,252.5,0.996055226824458,6159,2927.727,3.857867,0.01047126,0.932983508828025,834.6513,0.9720318,0.05175998,0.067016491171975,3.665,6.159
10,10300,291.6,10008.4,34.3223593964335,0.971689320388349,5980,2701.357,3.808104,0.04499381,0.951309600904026,782.6545,0.6727321,0.03323346,0.0486903990959739,3.659,6.45
11,10140,442,9698,21.9411764705882,0.956410256410256,5816,2638.661,3.764978,0.04022679,0.949032709269987,671.1674,0.7949239,0.05767417,0.0509672907300135,3.615,7.422
12,9353,129.9,9223.1,71.0015396458815,0.986111408104352,5445,2368.435,3.781138,0.02406597,0.947186130197105,762.3838,0.6549724,0.07051591,0.0528138698028946,3.618,6.242
13,9169,145.4,9023.6,62.060522696011,0.984142218344422,5236,2117.886,3.76581,0.03141089,0.936577479913129,706.2494,0.7647204,0.02190037,0.0634225200868705,3.576,5.503
14,11690,3100.4,8589.6,2.77048122822862,0.734781864841745,3613,1295.571,3.837091,0.0538197,0.940866738126546,417.1589,0.7489719,0.05120485,0.0591332618734538,3.657,11.56
15,11850,3666.4,8183.6,2.23205324023565,0.690599156118143,1895,620.3727,3.782618,0.006788513,0.943249794349318,209.1878,0.6749157,0.1003995,0.0567502056506817,3.605,5.462
