Channel,BR,DCR,Samp BR,,,#Bursts,A1 (4),Tau1 (4),dTau1 (4),f1 (4),A2 (4),Tau2 (4),dTau2 (4),f2 (4),<Tau> (4),BL (4),
,Hz,Hz,Hz,,,,,ns,,,,ns,,,ns,,
,,,,,,,Weighted,Weighted,Weighted,Weighted,Weighted,Weighted,Weighted,Weighted,Weighted,Weighted,
0,6960,3534.2,3425.8,0.969328277969555,0.492212643678161,4570,573.8358,3.509945,0.01123845,0.844563629658386,453.9413,0.8165984,0.06558247,0.155436370341615,3.099,10.41,
1,3873,185.6,3687.4,19.8674568965517,0.952078492124968,8588,1269.348,3.535146,0.0194015,0.762992189876169,1526.892,0.9128981,0.02514412,0.237007810123831,2.908,8.336,
2,4459,618.2,3840.8,6.21287609187965,0.861359049114151,8589,1372.952,3.539679,0.03855259,0.798069718399212,1308.487,0.9397459,0.0423501,0.201930281600788,3.013,10.37,
3,5833,1747.3,4085.7,2.33829336690895,0.700445739756557,9212,1236.198,3.539272,0.06957084,0.803334812332675,1223.838,0.8752033,0.0298795,0.196665187667325,3,20.82,
4,6374,2196.8,4177.2,1.90149308084487,0.655349858801381,7927,1293.442,3.57194,0.0353856,0.826066611292883,1180.669,0.823931,0.01925778,0.173933388707117,3.082,14.25,
5,4603,443.5,4159.5,9.37880496054115,0.903649793612861,9656,1583.226,3.610062,0.0386226,0.781894662002343,1848.752,0.8623766,0.09979713,0.218105337997656,2.992,9.829,
6,5231,1083.2,4147.8,3.82920974889217,0.792926782641942,9785,1687.218,3.604497,0.03002873,0.807894020409029,1625.763,0.8894983,0.04616142,0.192105979590971,3.082,15.3,
7,5358,1203.2,4154.8,3.453125,0.775438596491228,8758,1524.983,3.610938,0.03651373,0.812750279222623,1399.228,0.9066937,0.04407571,0.187249720777377,3.105,12.75,
8,3999,46.5,3952.5,85,0.988372093023256,9982,1939.687,3.505521,0.0370942,0.818099023801616,1794.725,0.8423944,0.0384398,0.181900976198384,3.021,9.125,
9,3816,40,3776,94.4,0.989517819706499,9702,1707.986,3.591924,0.04741971,0.77158770961412,1950.802,0.930963,0.04487695,0.22841229038588,2.986,7.925,
10,3945,291.6,3653.4,12.5288065843621,0.926083650190114,8921,1564.271,3.530299,0.115712,0.821209374104983,1396.744,0.8607906,0.07516437,0.178790625895017,3.033,8.334,
11,3906,442,3464,7.83710407239819,0.8868407578085,8453,1374.78,3.556347,0.01215327,0.780422596288557,1424.784,0.9654863,0.01898411,0.219577403711443,2.883,10.49,
12,3369,129.9,3239.1,24.9353348729792,0.961442564559216,8501,1377.517,3.542396,0.04225432,0.778276538848237,1519.518,0.9148838,0.05418548,0.221723461151763,2.814,8.28,
13,3259,145.4,3113.6,21.414030261348,0.955385087450138,7598,1159.988,3.491576,0.003140605,0.774830393347183,1372.713,0.8574294,0.02772854,0.225169606652817,2.79,7.519,
14,6129,3100.4,3028.6,0.976841697845439,0.49414260075053,8687,824.9725,3.526126,0.01243374,0.806167351797589,730.9814,0.9568254,0.04668654,0.193832648202411,2.913,31.38,
15,6468,3666.4,2801.6,0.764128300240017,0.433147804576376,3475,431.2979,3.496365,0.03953778,0.993100149735299,292.6543,0.03580023,0.06014983,0.00689985026470082,3.033,9.117,
